Time (s),x,y,z
1.654694698085956e+18,15.37500095,40.27500153,4.800000191
1.6546946980959562e+18,15.15000057,40.125,5.25
1.6546946981059564e+18,15.07500076,40.125,5.775000095
1.6546946981159562e+18,15.00000095,40.125,6.150000095
1.6546946981259564e+18,14.70000076,40.05000305,6.375000477
1.6546946981359562e+18,14.70000076,40.125,6.525000095
1.6546946981459564e+18,14.62500095,40.125,7.050000191
1.6546946981559562e+18,14.47500038,40.125,7.650000095
1.6546946981659564e+18,14.55000019,39.97500229,7.875000477
1.6546946981759562e+18,14.55000019,40.125,8.025000572
1.6546946981859564e+18,14.70000076,39.97500229,8.100000381
1.6546946981959562e+18,14.55000019,39.97500229,8.25
1.6546946982059564e+18,14.47500038,39.97500229,8.700000763
1.6546946982159562e+18,14.32500076,40.05000305,8.850000381
1.6546946982259564e+18,13.95000076,39.90000153,9.300000191
1.6546946982359562e+18,13.57500076,39.97500229,9.300000191
1.6546946982459564e+18,13.35000038,40.125,9.525000572
1.654694698255956e+18,12.97500038,39.97500229,10.125
1.654694698265956e+18,12.45000076,40.125,10.42500019
1.654694698275956e+18,12.30000019,40.20000076,10.57500076
1.654694698285956e+18,12.07500076,40.125,10.35000038
1.654694698295956e+18,11.77500057,40.27500153,10.65000057
1.654694698305956e+18,11.77500057,40.42500305,10.72500038
1.654694698315956e+18,11.92500019,40.42500305,10.72500038
1.654694698325956e+18,11.70000076,40.35000229,10.875
1.654694698335956e+18,11.70000076,40.35000229,11.02500057
1.6546946983459564e+18,11.55000019,40.35000229,10.875
1.6546946983559562e+18,11.10000038,40.27500153,11.17500019
1.6546946983659564e+18,10.875,40.57500076,11.47500038
1.6546946983759562e+18,10.57500076,40.35000229,11.70000076
1.6546946983859564e+18,10.27500057,40.125,11.70000076
1.6546946983959562e+18,9.975000381,40.20000076,12.22500038
1.6546946984059564e+18,9.75,40.20000076,12.45000076
1.6546946984159562e+18,9.675000191,40.5,12.22500038
1.6546946984259564e+18,9.600000381,40.57500076,12.22500038
1.6546946984359562e+18,9.825000763,40.80000305,12.30000019
1.6546946984459564e+18,9.825000763,40.57500076,12.22500038
1.6546946984559562e+18,9.975000381,40.65000153,12.15000057
1.6546946984659564e+18,10.42500019,40.80000305,11.85000038
1.6546946984759562e+18,10.57500076,40.72500229,11.40000057
1.6546946984859564e+18,10.80000019,40.65000153,10.875
1.6546946984959562e+18,10.80000019,40.5,10.35000038
1.654694698505956e+18,11.10000038,40.5,10.125
1.654694698515956e+18,11.40000057,40.35000229,9.75
1.654694698525956e+18,11.77500057,40.20000076,9.300000191
1.654694698535956e+18,12.15000057,40.20000076,8.475000381
1.654694698545956e+18,12.37500095,40.125,8.025000572
1.654694698555956e+18,12.67500019,40.125,7.425000191
1.654694698565956e+18,13.35000038,40.125,6.975000381
1.654694698575956e+18,13.80000019,39.97500229,6.225000381
